SA;FY
-0.2;6218.438515778592
-0.19595959595959597;6191.273728922145
-0.19191919191919193;6137.71823912019
-0.1878787878787879;6197.104216666412
-0.18383838383838386;6148.328146545932
-0.17979797979797982;6143.167656296562
-0.17575757575757578;6140.3770634411185
-0.1717171717171717;6091.323668940748
-0.1676767676767677;6095.644543824798
-0.16363636363636364;6068.329769564406
-0.15959595959595962;6095.729904788276
-0.15555555555555556;6034.401420461044
-0.15151515151515152;6024.464504157469
-0.14747474747474748;5909.006276794479
-0.14343434343434344;5907.98812166905
-0.1393939393939394;5859.774785016077
-0.13535353535353536;5764.851489029212
-0.13131313131313133;5714.013382075143
-0.1272727272727273;5664.026816063008
-0.12323232323232325;5583.361766278951
-0.11919191919191921;5505.0300215225125
-0.11515151515151516;5435.74878725217
-0.11111111111111112;5337.8222981512745
-0.10707070707070708;5251.074723636187
-0.10303030303030304;5167.658869933927
-0.098989898989899;5037.161073254351
-0.09494949494949496;4929.062557201881
-0.09090909090909093;4804.246422972792
-0.08686868686868687;4638.788447579614
-0.08282828282828283;4491.104586008056
-0.0787878787878788;4350.3227967855055
-0.07474747474747476;4273.76673158182
-0.07070707070707072;4061.834630380257
-0.06666666666666668;3841.872277017939
-0.06262626262626264;3692.5466435361404
-0.0585858585858586;3474.8785670029774
-0.054545454545454564;3277.9310546966412
-0.050505050505050525;3081.7942832894073
-0.046464646464646486;2844.265451745341
-0.04242424242424245;2585.4824298236636
-0.03838383838383841;2457.4138440430634
-0.03434343434343434;2261.328426049209
-0.030303030303030304;1979.311258048465
-0.026262626262626265;1757.246310451472
-0.022222222222222227;1539.6377518183845
-0.018181818181818188;1281.4390957467876
-0.01414141414141415;1027.4549192014588
-0.01010101010101011;763.640059985293
-0.006060606060606072;558.9104320072431
-0.002020202020202033;265.72470179550345
0.0020202020202020055;40.52422886456023
0.006060606060606044;-203.84345585178144
0.010101010101010083;-479.6092056259056
0.014141414141414121;-732.7728820944702
0.01818181818181816;-978.6253079890455
0.0222222222222222;-1209.9225211473156
0.026262626262626265;-1451.253285187163
0.030303030303030304;-1687.4896539591377
0.03434343434343434;-1945.478260090318
0.03838383838383838;-2195.787520028866
0.04242424242424242;-2468.573556640227
0.04646464646464646;-2691.076952716245
0.0505050505050505;-2929.6915563730736
0.05454545454545451;-3193.7196344573235
0.058585858585858575;-3386.2051713714
0.06262626262626264;-3628.580228227734
0.06666666666666665;-3810.093820860281
0.07070707070707072;-4003.6328717813167
0.07474747474747473;-4256.318977421798
0.0787878787878788;-4412.979017320154
0.0828282828282828;-4548.275268898172
0.08686868686868687;-4774.469465990461
0.09090909090909088;-4908.0215162220475
0.09494949494949495;-5025.548773628363
0.09898989898989896;-5107.848055768217
0.10303030303030303;-5269.140729526573
0.10707070707070704;-5359.058084811081
0.1111111111111111;-5421.023995545118
0.11515151515151512;-5520.842881826332
0.11919191919191918;-5595.762300887433
0.1232323232323232;-5654.907634841337
0.12727272727272726;-5696.829944318297
0.13131313131313133;-5699.805395714238
0.13535353535353534;-5794.794072270373
0.1393939393939394;-5842.874444347171
0.14343434343434341;-5823.703257612031
0.14747474747474748;-5876.771811638966
0.1515151515151515;-5871.673943114283
0.15555555555555556;-5883.247732579035
0.15959595959595957;-5842.871600681621
0.16363636363636364;-5872.192112187286
0.16767676767676765;-5871.603393768312
0.1717171717171717;-5866.710196126716
0.17575757575757572;-5862.590395311478
0.1797979797979798;-5853.240838877954
0.1838383838383838;-5831.104415653487
0.18787878787878787;-5784.077069064036
0.19191919191919193;-5798.761247701898
0.19595959595959594;-5743.3626129314725
0.2;-5792.0374737719685
