LSR;FX
-0.5;-3902.274511620473
-0.4898989898989899;-3944.1529849345225
-0.4797979797979798;-3914.501731194737
-0.4696969696969697;-3946.540363860679
-0.4595959595959596;-3960.873687933541
-0.4494949494949495;-3994.082274279091
-0.4393939393939394;-4032.0723243755615
-0.4292929292929293;-4018.585016182381
-0.41919191919191917;-4060.3834898407913
-0.40909090909090906;-4059.6622012732087
-0.398989898989899;-4024.224305759872
-0.3888888888888889;-4065.134857897537
-0.3787878787878788;-4105.00097114302
-0.3686868686868687;-4088.289488628563
-0.35858585858585856;-4108.493252356
-0.3484848484848485;-4144.697748688356
-0.33838383838383834;-4162.303675838041
-0.3282828282828283;-4225.470510704347
-0.3181818181818182;-4194.66900959308
-0.30808080808080807;-4223.894509575594
-0.29797979797979796;-4217.3036622247355
-0.28787878787878785;-4295.543423041385
-0.2777777777777778;-4267.4675665876075
-0.2676767676767676;-4300.442501194653
-0.25757575757575757;-4338.285694342582
-0.24747474747474746;-4327.178807110248
-0.23737373737373735;-4444.622811518167
-0.22727272727272724;-4414.410711994383
-0.21717171717171713;-4434.310458199112
-0.20707070707070707;-4461.310497247081
-0.19696969696969696;-4474.136730267436
-0.18686868686868685;-4506.5550250909855
-0.17676767676767674;-4525.631869684912
-0.16666666666666663;-4542.935324607676
-0.15656565656565652;-4556.829245528159
-0.1464646464646464;-4617.095764215035
-0.13636363636363635;-4600.980274443351
-0.12626262626262624;-4627.74602502708
-0.11616161616161613;-4635.17683306277
-0.10606060606060602;-4536.021108012274
-0.09595959595959591;-4560.976982800563
-0.0858585858585858;-4458.965591342931
-0.07575757575757575;-4369.315451336132
-0.06565656565656564;-4202.086556935009
-0.055555555555555525;-3934.665643752243
-0.045454545454545414;-3589.4437429449013
-0.035353535353535304;-3076.3067642591755
-0.025252525252525193;-2329.5519000494137
-0.015151515151515138;-1486.0011730122828
-0.0050505050505050275;-546.1702780999029
0.005050505050505083;561.1395427699118
0.015151515151515249;1511.2575379801583
0.025252525252525304;2420.9919301960617
0.03535353535353536;3084.640188262034
0.045454545454545525;3600.0995238001547
0.05555555555555558;3950.122830639851
0.06565656565656575;4236.371553346074
0.0757575757575758;4376.045884759391
0.08585858585858586;4485.816671532379
0.09595959595959602;4597.878155201842
0.10606060606060608;4616.145322980106
0.11616161616161624;4652.271788297629
0.1262626262626263;4666.884719634002
0.13636363636363646;4606.472214893617
0.14646464646464652;4657.494876683706
0.15656565656565657;4615.147565770962
0.16666666666666674;4578.266440122384
0.1767676767676768;4528.629636627995
0.18686868686868696;4501.650960497729
0.19696969696969702;4518.2565835936075
0.20707070707070718;4497.478757774961
0.21717171717171724;4437.774116346167
0.2272727272727273;4414.021264981477
0.23737373737373746;4359.818871946277
0.24747474747474751;4397.610341860075
0.2575757575757577;4375.866621049095
0.26767676767676774;4294.512065278416
0.2777777777777778;4290.917387761445
0.28787878787878796;4293.116290548404
0.297979797979798;4260.618692460928
0.3080808080808082;4192.397592408476
0.31818181818181823;4217.618884496391
0.3282828282828284;4181.832431129043
0.33838383838383845;4139.435540738657
0.3484848484848485;4146.816539955181
0.3585858585858587;4095.6699584635307
0.36868686868686873;4111.468531698285
0.3787878787878789;4080.5982583241403
0.38888888888888895;4074.5076803379247
0.3989898989898991;4055.0920743481915
0.40909090909090917;4049.9329759660163
0.4191919191919192;4005.229076728006
0.4292929292929294;3991.709007529791
0.43939393939393945;4030.8005964346744
0.4494949494949496;3978.6242783347943
0.45959595959595967;3995.927848110568
0.4696969696969697;3944.325473405881
0.4797979797979799;3989.76864516213
0.48989898989898994;3906.4943976180684
0.5;3940.3618580447824
