SA;MZ
-0.5;-119.83284711227464
-0.4898989898989899;-122.08506887119017
-0.4797979797979798;-124.74616997209563
-0.4696969696969697;-127.52080268052552
-0.4595959595959596;-127.39983049913097
-0.4494949494949495;-127.79043056538559
-0.4393939393939394;-132.41181023193576
-0.4292929292929293;-131.09750252907898
-0.41919191919191917;-133.11942411265107
-0.40909090909090906;-134.6659000801749
-0.398989898989899;-135.79765280797014
-0.3888888888888889;-136.28342088900905
-0.3787878787878788;-139.42173127596016
-0.3686868686868687;-140.61479273248793
-0.35858585858585856;-141.20781168904574
-0.3484848484848485;-144.17295486975624
-0.33838383838383834;-144.1680171920558
-0.3282828282828283;-144.80022181238567
-0.3181818181818182;-146.88841483761198
-0.30808080808080807;-146.59706716525093
-0.29797979797979796;-148.89056128432614
-0.28787878787878785;-149.07991027145056
-0.2777777777777778;-148.64645664794728
-0.2676767676767676;-148.36886027078597
-0.25757575757575757;-149.33929118349846
-0.24747474747474746;-148.11306855721278
-0.23737373737373735;-148.60306992938177
-0.22727272727272724;-148.63123645732108
-0.21717171717171713;-145.57454217855704
-0.20707070707070707;-146.31345177227217
-0.19696969696969696;-146.0261031748768
-0.18686868686868685;-142.90256656208817
-0.17676767676767674;-140.35599720453894
-0.16666666666666663;-140.59687450201284
-0.15656565656565652;-136.38425680150925
-0.1464646464646464;-135.7548854473761
-0.13636363636363635;-132.91668299170604
-0.12626262626262624;-128.24955651476984
-0.11616161616161613;-125.3808320386253
-0.10606060606060602;-121.52782148823613
-0.09595959595959591;-115.72447521725901
-0.0858585858585858;-112.64048541518827
-0.07575757575757575;-108.52434288576681
-0.06565656565656564;-104.23376214899119
-0.055555555555555525;-97.48454580108476
-0.045454545454545414;-90.94930710620066
-0.035353535353535304;-84.21102995553461
-0.025252525252525193;-79.28975980946632
-0.015151515151515138;-73.18652069734313
-0.0050505050505050275;-65.93774345735609
0.005050505050505083;-59.95358014990008
0.015151515151515249;-52.07376499315083
0.025252525252525304;-46.10165932392423
0.03535353535353536;-38.47331385141235
0.045454545454545525;-29.885409796625197
0.05555555555555558;-24.396123071856767
0.06565656565656575;-18.662936887032295
0.0757575757575758;-10.480706795745352
0.08585858585858586;-2.2415358743429605
0.09595959595959602;5.2339369115498275
0.10606060606060608;10.044434881268478
0.11616161616161624;17.080993871514565
0.1262626262626263;25.512119799977715
0.13636363636363646;29.994211269460372
0.14646464646464652;36.00459598500197
0.15656565656565657;41.99953316130484
0.16666666666666674;47.026189535627466
0.1767676767676768;52.174995415795735
0.18686868686868696;56.40510835916947
0.19696969696969702;61.70035842652161
0.20707070707070718;65.58126188441416
0.21717171717171724;69.37660550350732
0.2272727272727273;71.9523327479632
0.23737373737373746;74.41152385095644
0.24747474747474751;80.50715393802814
0.2575757575757577;80.34122551377521
0.26767676767676774;84.7189820526073
0.2777777777777778;86.48812413448475
0.28787878787878796;89.0039171498459
0.297979797979798;91.45393096426677
0.3080808080808082;92.25957263689746
0.31818181818181823;96.06042782559615
0.3282828282828284;95.30142404672395
0.33838383838383845;95.22239833755845
0.3484848484848485;98.88056473084379
0.3585858585858587;97.92701723440467
0.36868686868686873;98.18195313132571
0.3787878787878789;98.21335493527053
0.38888888888888895;99.3491874764615
0.3989898989898991;99.63215344157179
0.40909090909090917;98.64812341863745
0.4191919191919192;97.35434998123895
0.4292929292929294;99.23140061421276
0.43939393939393945;97.8945946252943
0.4494949494949496;97.39318798687533
0.45959595959595967;97.8883232895412
0.4696969696969697;95.89175229530719
0.4797979797979799;97.34667769876411
0.48989898989898994;96.58835003514407
0.5;95.02537702429288
