SA;FY
-0.2;2185.6869165432618
-0.19595959595959597;2297.065221810417
-0.19191919191919193;2196.3629990489626
-0.1878787878787879;2363.1482791405174
-0.18383838383838386;2175.2012301931877
-0.17979797979797982;2203.0626725148136
-0.17575757575757578;2168.896758239707
-0.1717171717171717;2245.175986574137
-0.1676767676767677;2243.570185612922
-0.16363636363636364;2307.9644465595184
-0.15959595959595962;2227.92233568006
-0.15555555555555556;2266.266336322396
-0.15151515151515152;2344.567618893382
-0.14747474747474748;2319.879180043297
-0.14343434343434344;2266.0210436239813
-0.1393939393939394;2266.0489281220644
-0.13535353535353536;2370.11374855858
-0.13131313131313133;2281.3837815325155
-0.1272727272727273;2346.6140682540436
-0.12323232323232325;2291.336063798513
-0.11919191919191921;2392.5348921472687
-0.11515151515151516;2272.720273055588
-0.11111111111111112;2255.5024708052592
-0.10707070707070708;2357.8094997052012
-0.10303030303030304;2341.5488591385647
-0.098989898989899;2271.6147182725017
-0.09494949494949496;2289.662184100689
-0.09090909090909093;2317.55684070632
-0.08686868686868687;2206.5544715135625
-0.08282828282828283;2237.690215449638
-0.0787878787878788;2153.1038195626174
-0.07474747474747476;2023.6715493126087
-0.07070707070707072;2073.6016736740817
-0.06666666666666668;2043.1120051236094
-0.06262626262626264;1993.60057312687
-0.0585858585858586;1910.3231111124685
-0.054545454545454564;1755.0445075663224
-0.050505050505050525;1796.3262516876925
-0.046464646464646486;1767.4323415065169
-0.04242424242424245;1563.0789436591128
-0.03838383838383841;1393.403661529101
-0.03434343434343434;1294.716004926376
-0.030303030303030304;1200.2531176272425
-0.026262626262626265;1150.7783234502458
-0.022222222222222227;1022.8883508438316
-0.018181818181818188;790.5845356841804
-0.01414141414141415;723.1024952620091
-0.01010101010101011;515.4999671899544
-0.006060606060606072;533.0779238181753
-0.002020202020202033;348.0233444541814
0.0020202020202020055;262.43171170368066
0.006060606060606044;174.5813740660112
0.010101010101010083;-48.05958988338014
0.014141414141414121;-124.30216673702168
0.01818181818181816;-226.83741238978706
0.0222222222222222;-451.4704685488268
0.026262626262626265;-677.7287695460675
0.030303030303030304;-764.3913210401378
0.03434343434343434;-857.4165097850343
0.03838383838383838;-972.6538916751109
0.04242424242424242;-1210.23674984306
0.04646464646464646;-1294.581660358606
0.0505050505050505;-1328.561899731886
0.05454545454545451;-1439.2051887924997
0.058585858585858575;-1463.625806826903
0.06262626262626264;-1765.9086706397923
0.06666666666666665;-1782.5007123735022
0.07070707070707072;-1877.429049087969
0.07474747474747473;-1888.3606223171614
0.0787878787878788;-1945.8767217392767
0.0828282828282828;-2017.2533682670817
0.08686868686868687;-2115.051724604038
0.09090909090909088;-2121.5343905400073
0.09494949494949495;-2108.5118441406285
0.09898989898989896;-2253.937299521442
0.10303030303030303;-2232.943655469117
0.10707070707070704;-2366.514895245653
0.1111111111111111;-2366.2283871040013
0.11515151515151512;-2360.4332690387096
0.11919191919191918;-2304.703933772744
0.1232323232323232;-2351.4167308003894
0.12727272727272726;-2420.607503257001
0.13131313131313133;-2464.7305597840827
0.13535353535353534;-2405.560765487789
0.1393939393939394;-2397.5000298795358
0.14343434343434341;-2360.3516039517026
0.14747474747474748;-2400.326754857018
0.1515151515151515;-2566.6092558537125
0.15555555555555556;-2407.242629736903
0.15959595959595957;-2570.708148216792
0.16363636363636364;-2467.205577340282
0.16767676767676765;-2536.1008555617304
0.1717171717171717;-2509.317219224122
0.17575757575757572;-2487.799848157239
0.1797979797979798;-2483.5337858112393
0.1838383838383838;-2477.654090118384
0.18787878787878787;-2409.5876426832747
0.19191919191919193;-2379.252380172624
0.19595959595959594;-2514.8524933493813
0.2;-2362.873957466324
